sale_id,order_ts,customer_id,product_id,product_qty
1,2021-03-20 13:03:23,2607,4542,3
2,2022-02-23 17:02:54,4779,142,2
3,2021-09-07 07:09:08,1597,3726,6
4,2021-04-05 21:04:34,9349,1327,3
5,2021-11-26 06:11:23,9320,2593,6
6,2021-04-07 05:04:34,5665,808,3
7,2021-03-05 23:03:09,2094,4605,8
8,2022-01-09 17:01:00,7598,3762,7
9,2021-12-04 10:12:45,1887,4075,3
10,2021-03-07 06:03:56,835,809,7
11,2021-08-04 04:08:32,8947,1787,9
12,2021-12-31 21:12:39,3751,2911,7
13,2021-06-10 21:06:29,3485,410,5
14,2022-01-31 19:01:56,9139,1477,9
15,2021-03-22 02:03:40,9947,4095,2
16,2021-05-26 19:05:30,1970,2110,8
17,2021-06-06 01:06:59,9378,2530,3
18,2021-11-04 18:11:00,6793,526,7
19,2021-08-27 22:08:19,3069,2284,1
20,2021-04-02 12:04:09,817,2145,4
21,2021-07-22 05:07:29,9548,3853,9
22,2021-04-06 18:04:07,4911,4349,6
23,2021-10-16 12:10:13,569,3355,1
24,2021-09-28 21:09:37,8154,3920,5
25,2021-08-10 16:08:21,9315,1481,1
26,2021-05-04 00:05:46,7434,1210,9
27,2021-12-03 10:12:49,2508,4524,3
28,2021-04-16 22:04:37,8515,4707,7
29,2021-05-29 00:05:12,351,857,9
30,2021-07-01 08:07:19,1044,3162,5
31,2021-09-30 15:09:04,7360,3884,7
32,2021-04-21 07:04:00,2202,4290,8
33,2022-01-05 19:01:35,4734,2955,2
34,2022-02-19 09:02:14,8094,4696,8
35,2021-03-14 16:03:32,4835,2772,2
36,2021-10-18 11:10:59,9243,991,7
37,2022-01-12 11:01:01,9931,1683,7
38,2021-11-08 08:11:33,9303,402,6
39,2021-02-28 17:02:14,3168,4463,6
40,2021-12-02 09:12:41,9071,3969,5
41,2021-12-31 03:12:49,4486,1856,6
42,2021-06-20 19:06:49,2117,3481,7
43,2022-02-23 02:02:28,5702,191,5
44,2021-07-13 00:07:18,2489,2770,5
45,2022-01-06 18:01:59,9844,4833,5
46,2021-11-25 04:11:19,2200,3930,3
47,2021-07-22 15:07:30,1514,4102,5
48,2021-10-01 11:10:24,8622,387,1
49,2021-08-27 21:08:29,6487,233,3
